# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       4.096      324.700       10.699      484.637
       4.102        0.000       10.699      484.637
       4.107      187.000       10.699      484.637
       4.112        0.000       10.699      484.637
       4.118        0.000       10.699      484.637
       4.123      163.000       10.699      484.637
       4.129      318.300       10.699      484.637
       4.135      168.200       10.699      484.637
       4.141        0.000       10.699      484.637
       4.147        0.000       10.699      484.637
       4.153      164.500       10.699      484.637
       4.159        0.000       10.699      484.637
       4.165      179.200       10.699      484.637
       4.170      225.000       10.699      484.637
       4.175        0.000       10.699      484.637
       4.179        0.000       10.699      484.637
       4.184        0.000       10.699      484.637
       4.188      229.600       10.699      484.637
       4.193        0.000       10.699      484.637
       4.197        0.000       10.699      484.637
       4.202      227.500       10.699      484.637
       4.206        0.000       10.699      484.637
       4.210        0.000       10.699      484.637
       4.215      222.100       10.699      484.637
